key_resp.corr,key_resp.rt,,1.2619524,0.5850322,0.6769202
1,1.2619524,,1.6859113,0.9054702,0.7804411
1,1.6859113,,1.0723531,1.1032883,-0.0309352
1,1.0723531,,0.8136501,0.6053895,0.2082606
1,0.8136501,,0.8115574,0.4011671,0.4103903
1,0.8115574,,0.9037277,0.851549,0.0521787
1,0.9037277,,0.9932145,0.3982078,0.5950067
1,0.9932145,,1.8096898,0.5276272,1.2820626
1,1.8096898,,0.999073,0.4971863,0.5018867
1,0.999073,,0.9329422,0.4118605,0.5210817
1,0.9329422,,0.7844139,0.4441476,0.3402663
1,0.7844139,,0.6524354,0.3098269,0.3426085
1,0.6524354,,0.7106082,0.6024639,0.1081443
1,0.7106082,,1.1088407,0.9072823,0.2015584
1,1.1088407,,0.8722578,0.5938477,0.2784101
1,0.8722578,,0.6028557,1.1285693,-0.5257136
1,0.6028557,,0.7602989,0.5644134,0.1958855
1,0.7602989,,0.8542111,0.6172434,0.2369677
1,0.8542111,,0.9509959,0.6898832,0.2611127
1,0.9509959,,0.9050168,0.5885458,0.316471
1,0.9050168,,0.8557092,0.7622486,0.0934606
1,0.8557092,,0.7671216,0.534576,0.2325456
1,0.7671216,,0.7931511,0.6587693,0.1343818
1,0.7931511,,0.9963935,0.4566668,0.5397267
1,0.9963935,,0.6612291,0.6142171,0.047012
1,0.6612291,,0.6979696,0.5658848,0.1320848
1,0.6979696,,0.7617404,0.5345071,0.2272333
1,0.7617404,,0.9543064,0.415797,0.5385094
1,0.9543064,,0.7848408,0.5505832,0.2342576
1,0.7848408,,0.6735262,0.8946412,-0.221115
1,0.6735262,,2.2433,0.7551189,1.4881811
1,2.2433,,0.6981494,0.5611624,0.136987
1,0.6981494,,0.7349268,0.4287732,0.3061536
1,0.7349268,,0.7146346,0.695634,0.0190006
1,0.7146346,,0.6769346,0.5592434,0.1176912
1,0.6769346,,0.4313611,0.4954882,-0.0641271
1,0.4313611,,3.9362573,0.4891517,3.4471056
1,3.9362573,,0.7241879,0.5236202,0.2005677
1,0.7241879,,0.6556764,0.4928715,0.1628049
1,0.6556764,,0.5711239,0.5669588,0.0041651
1,0.5711239,,0.6267214,0.8215533,-0.1948319
1,0.6267214,,0.6785996,1.3413446,-0.662745
1,0.6785996,,0.6527448,0.410104,0.2426408
1,0.6527448,,0.5543624,0.7824299,-0.2280675
1,0.5543624,,0.6716024,0.6396871,0.0319153
1,0.6716024,,0.8188826,5.1807124,-4.3618298
1,0.8188826,,0.6327632,0.4817745,0.1509887
1,0.6327632,,0.4224437,0.6971979,-0.2747542
1,0.4224437,,0.5785417,0.5008083,0.0777334
1,0.5785417,,0.7304005,0.5174791,0.2129214
1,0.7304005,,0.3887108,1.5600332,-1.1713224
1,0.3887108,,0.4565517,0.7750022,-0.3184505
1,0.4565517,,0.5085904,0.4777636,0.0308268
1,0.5085904,,0.7357896,0.5059912,0.2297984
1,0.7357896,,0.3736232,0.434272,-0.0606488
1,0.3736232,,0.3767518,0.476705,-0.0999532
1,0.3767518,,0.3797799,0.502567,-0.1227871
1,0.3797799,,0.6763011,0.5060867,0.1702144
1,0.6763011,,0.3238475,0.725429,-0.4015815
1,0.3238475,,0.5050328,0.7021047,-0.1970719
1,0.5050328,,0.7731396,0.5485763,0.2245633
1,0.7731396,,0.6542297,4.4404089,-3.7861792
1,0.6542297,,0.3272533,0.6092997,-0.2820464
1,0.3272533,,0.8190168,3.7626929,-2.9436761
1,0.8190168,,0.8302287,0.7609096,0.0693191
1,0.8302287,,0.8946503,0.7342206,0.1604297
1,0.8946503,,0.3861846,0.7330152,-0.3468306
1,0.3861846,,0.4202462,0.4698548,-0.0496086
1,0.4202462,,0.3647669,1.962753,-1.5979861
1,0.3647669,,0.659888,0.5101823,0.1497057
1,0.659888,,0.3266172,0.4206057,-0.0939885
1,0.3266172,,0.3696346,0.4266943,-0.0570597
1,0.3696346,,0.9109386,1.3776035,-0.4666649
1,0.9109386,,0.498222,0.5240418,-0.0258198
1,0.498222,,0.3301922,0.5491282,-0.218936
1,0.3301922,,0.3029812,0.6159655,-0.3129843
1,0.3029812,,0.2769631,0.3993117,-0.1223486
1,0.2769631,,0.2971823,0.4748257,-0.1776434
1,0.2971823,,0.3048317,4.0357377,-3.730906
1,0.3048317,,0.3159614,0.7503973,-0.4344359
1,0.3159614,,0.3348047,0.8095085,-0.4747038
1,0.3348047,,0.2883056,0.4976252,-0.2093196
1,0.2883056,,0.3017564,0.643768,-0.3420116
1,0.3017564,,0.462983,0.6065445,-0.1435615
1,0.462983,,0.3527999,0.4386311,-0.0858312
1,0.3527999,,0.6564851,0.4329885,0.2234966
1,0.6564851,,0.2962663,0.9766685,-0.6804022
1,0.2962663,,0.2929415,0.4979076,-0.2049661
1,0.2929415,,0.580984,0.6034678,-0.0224838
1,0.580984,,0.4856565,0.7484334,-0.2627769
1,0.4856565,,0.3080301,0.7019039,-0.3938738
1,0.3080301,,0.3593364,0.7921557,-0.4328193
1,0.3593364,,0.6808219,0.7527272,-0.0719053
1,0.6808219,,0.9785218,0.4045376,0.5739842
1,0.9785218,,0.5381268,0.8587515,-0.3206247
1,0.5381268,,0.3280657,2.36107,-2.0330043
1,0.3280657,,0.3375324,0.6114489,-0.2739165
1,0.3375324,,0.3741913,0.76519,-0.3909987
1,0.3741913,,0.3382708,0.533142,-0.1948712
1,0.3382708,,0.4164356,0.58353,-0.1670944
1,0.4164356,,0.5435754,0.6782587,-0.1346833
1,0.5435754,,1.3398739,0.6419127,0.6979612
1,1.3398739,,0.3923918,0.5862307,-0.1938389
1,0.3923918,,0.872959,0.7577419,0.1152171
1,0.872959,,0.4796206,0.5841369,-0.1045163
1,0.4796206,,0.4021463,0.5405981,-0.1384518
1,0.4021463,,0.2946606,1.2879175,-0.9932569
1,0.2946606,,1.222115,0.5590387,0.6630763
1,1.222115,,0.3858349,0.5806777,-0.1948428
1,0.3858349,,0.2880388,0.6859176,-0.3978788
1,0.2880388,,0.3238781,0.4510861,-0.127208
1,0.3238781,,0.410544,0.5883679,-0.1778239
1,0.410544,,0.3898807,0.5084508,-0.1185701
1,0.3898807,,0.3095354,0.7033611,-0.3938257
1,0.3095354,,0.3454034,0.6507362,-0.3053328
1,0.3454034,,2.3055161,1.0954212,1.2100949
1,2.3055161,,0.3246853,14.9738835,-14.6491982
1,0.3246853,,0.3109727,0.9175935,-0.6066208
1,0.3109727,,0.3350964,0.5790062,-0.2439098
1,0.3350964,,0.333741,0.5848176,-0.2510766
1,0.333741,,0.3510231,0.6193953,-0.2683722
1,0.3510231,,0.2977495,1.226988,-0.9292385
1,0.2977495,,0.4304467,0.6743195,-0.2438728
1,0.4304467,,0.3224566,1.2285597,-0.9061031
1,0.3224566,,0.7227262,0.6709788,0.0517474
1,0.7227262,,0.3438515,0.7151011,-0.3712496
1,0.3438515,,1.4855136,0.643375,0.8421386
1,1.4855136,,0.6696739,0.3972496,0.2724243
1,0.6696739,,0.6507802,0.4857752,0.165005
1,0.6507802,,0.3938813,0.5309482,-0.1370669
1,0.3938813,,0.3202115,3.0625725,-2.742361
1,0.3202115,,0.4019752,1.7106243,-1.3086491
1,0.4019752,,0.3945993,1.0039611,-0.6093618
1,0.3945993,,0.3528033,0.5399232,-0.1871199
1,0.3528033,,0.3834485,1.6657075,-1.282259
1,0.3834485,,0.5070874,0.5889919,-0.0819045
1,0.5070874,,0.416341,2.6058406,-2.1894996
1,0.416341,,0.3518796,0.9074493,-0.5555697
1,0.3518796,,0.4834836,0.7923501,-0.3088665
1,0.4834836,,0.4536682,0.4435674,0.0101008
1,0.4536682,,0.8028695,0.6027801,0.2000894
1,0.8028695,,0.273329,0.6852437,-0.4119147
1,0.273329,,0.3215716,0.5102728,-0.1887012
1,0.3215716,,0.3863418,0.3519744,0.0343674
1,0.3863418,,0.3652268,0.6586406,-0.2934138
1,0.3652268,,0.817674,0.6361907,0.1814833
1,0.817674,,0.3058966,10.1951641,-9.8892675
1,0.3058966,,0.412758,0.5651147,-0.1523567
1,0.412758,,0.3226629,1.2848314,-0.9621685
1,0.3226629,,0.3696836,0.6690916,-0.299408
1,0.3696836,,0.2530156,0.4844564,-0.2314408
1,0.2530156,,0.4684247,0.5781939,-0.1097692
1,0.4684247,,0.3075469,0.5043889,-0.196842
1,0.3075469,,0.4740823,0.8906653,-0.416583
1,0.4740823,,0.3317413,0.5984499,-0.2667086
1,0.3317413,,0.3516093,0.498084,-0.1464747
1,0.3516093,,0.523949,1.5408579,-1.0169089
1,0.523949,,0.3171469,0.4580705,-0.1409236
1,0.3171469,,0.4839038,1.7185067,-1.2346029
1,0.4839038,,1.7453393,1.9032673,-0.157928
1,1.7453393,,1.4179495,0.5541249,0.8638246
1,1.4179495,,1.2421846,0.5472805,0.6949041
